상권명,자치구,법정동,엑스좌표_값,와이좌표_값,아파트_단지_수,아파트_평균_면적,주중_매출_금액,주말_매출_금액,당월_매출_건수,시간대_11~14_매출_금액
삼양입구사거리,강북구,송천동,202451,457427,25,45,2076909,2459939,620,2109453
강북중학교,강북구,수유3동,202506,460397,61,49,53316912,29103025,9513,15671757
송중초등학교,강북구,송중동,202711,457804,83,53,43523555,11917783,7070,22330928
서울북부고용노동지청,강북구,번2동,202797,459422,64,48,32154771,8902959,5226,21086338
수송초등학교,강북구,번1동,202774,459976,108,49,62170073,36745030,10391,33048328
미아사거리역 3번,강북구,송중동,202936,456864,3,44,13101337,8971257,1337,6087202
송중동주민센터,강북구,송중동,203052,457230,25,51,11484015,4861432,2293,2871781
덕성여대시반거리,도봉구,쌍문1동,201215,461310,9,41,183481362,43381491,47809,82889985
쌍문초등학교,도봉구,쌍문1동,202159,461198,130,50,27101888,9761461,4995,10016205
도봉우체국,도봉구,쌍문3동,202678,460881,64,52,15942923,4623969,3065,9321497
방학초등학교,도봉구,방학2동,202823,462590,27,45,36293494,15931123,10228,9958939
국민은행방학지점,도봉구,방학3동,202933,462499,5,59,30839435,18441271,6617,12058417
방학중학교,도봉구,방학2동,203106,463000,121,51,23645467,12178418,12616,4134675
신한은행 방학동지점,도봉구,방학1동,203218,462687,18,45,6252602,9916272,1783,4660833
쌍문역1번(쌍리단길),도봉구,창1동,203218,460963,34,51,333092512,168504665,76957,127811982
도봉산입구,도봉구,도봉1동,203332,464982,208,49,214240446,144269126,77147,122260650
쌍문2동우체국,도봉구,쌍문2동,203278,461696,69,48,125122217,46627531,29574,60787905
창2동주민센터,도봉구,창2동,203454,460218,177,51,44587324,19060981,12841,18704736
도봉구보건소,도봉구,쌍문2동,203457,462153,81,54,2941385,938170,768,2057444
방학1동주민센터,도봉구,방학1동,203537,462802,62,50,7350039,3774235,1600,5426419
신창초등학교,도봉구,창3동,203576,459627,162,50,37754917,13632654,7904,15282672
방학역 1번,도봉구,방학1동,203619,463278,86,49,18679545,8055368,3959,7922656
도봉산역 1번,도봉구,도봉1동,203718,465573,37,50,195127948,164265294,43828,112237827
도봉역 2번,도봉구,도봉1동,203614,463983,123,49,78395154,30220297,19680,39832006
가인초등학교,도봉구,창5동,203661,462129,14,49,31031401,9481694,5036,15138879
창동역 2번,도봉구,창5동,203829,461718,48,50,290472255,181107444,58139,132339013
방학역 2번,도봉구,방학1동,203939,463274,28,47,141312454,67086277,31850,61708756
수락산역 4번,노원구,상계1동,204689,464016,106,56,350964371,183575240,86286,140505528
노원초등학교,노원구,상계1동,205046,463673,36,59,13815561,6778971,2158,5129712
월계역 3번,노원구,월계2동,205127,459237,10,47,11412881,2638138,2110,6157391
광운대학교 남단,노원구,월계1동,205120,457577,28,53,91382303,27561501,17053,46396180
수락산디자인거리,노원구,상계1동,205038,464087,29,60,239891550,137664620,62281,121979031
광운대역 1번,노원구,월계1동,205266,457942,23,49,372052137,105462955,88729,142585633
석계역 1번,노원구,월계1동,205573,457361,32,49,87527563,52937996,14339,29160570
석계역 2번,노원구,월계1동,205719,457498,3,66,16637434,12527669,3830,8634928
상계초등학교,노원구,상계2동,205957,462130,38,53,39144266,16915840,11739,15265137
계상초등학교,노원구,상계5동,206006,462411,60,50,69239819,35340571,10839,38493332
상계2동주민센터,노원구,상계2동,206148,461865,52,46,34006841,17020860,5779,17823395
상계5동주민센터,노원구,상계5동,206276,462728,127,48,101864507,61995602,11263,51239394
공릉동 국수거리,노원구,공릉1동,206455,457940,84,59,67631628,22947298,8651,36681977
상계역,노원구,중계4동,206556,462351,5,52,370942008,230452294,116366,146294065
대진고등학교,노원구,하계1동,206468,459617,31,53,33879625,921487,3027,16231686
공릉역 2번,노원구,공릉1동,206692,458322,75,47,178270782,90723751,16938,46498587
태릉입구역 4번,노원구,공릉1동,206724,457916,32,62,5041091,4588283,1459,1108709
서울과학기술대,노원구,공릉2동,206727,458887,2,82,202204631,77079785,55858,98118521
당고개역 2번,노원구,상계3?4동,206846,463073,18,58,20715852,342141,365,10020467
경춘선숲길 우측,노원구,공릉2동,206924,458484,43,48,116932487,58432967,24273,55646898
당고개역 5번,노원구,상계3?4동,206942,463518,81,56,3475843,1389601,130,803224
영신여고,노원구,중계본동,207291,461205,61,55,59775890,34609786,13452,27817547
화랑대철도공원,노원구,공릉2동,207943,458309,4,48,34523472,12400964,9988,16762496
내를건너서숲으로도서관,은평구,신사2동,191796,454593,20,54,8694519,2428330,1893,5070837
증산역 3번,은평구,증산동,191787,453767,94,60,113496957,50165517,15778,46824872
시립서북병원,은평구,구산동,191983,456211,221,54,92797987,8467357,11709,41305726
새절역 3번,은평구,신사2동,192273,454515,52,53,7205913,2339750,1357,3534560
신사1동주민센터,은평구,신사1동,192303,455136,228,54,36478979,29081095,8730,21440740
선정중학교,은평구,갈현2동,192299,457526,174,51,2601807,454723,462,1486747
역촌노인복지관,은평구,역촌동,192271,455990,214,55,128455427,58022127,39944,44976592
구산보건지소,은평구,구산동,192317,456472,243,54,11410802,8314548,2908,6589315
예일여고,은평구,구산동,192325,456907,140,55,121553427,51454039,25493,46154588
선일여고,은평구,갈현2동,192396,457958,161,54,126716732,69340569,39701,54482716
응암역 2번,은평구,신사1동,192366,455560,122,58,14833491,12697259,3679,9870565
구산역 4번,은평구,갈현2동,192498,457218,160,54,31378240,13370849,10088,13072929
새절역 2번,은평구,응암3동,192506,454562,33,53,20477147,17874322,3689,10065833
갈현건영아파트,은평구,갈현1동,192582,458461,154,53,6503302,250453,1333,2516091
응암3동주민센터,은평구,응암3동,192604,454716,36,45,45909692,32449369,8427,22494424
연신내역 5번,은평구,갈현2동,192658,457512,107,50,66703028,44783713,9790,22178820
연신내역 7번,은평구,갈현1동,192719,457984,53,52,197870716,109904183,53615,66843753
은평요양병원,은평구,갈현1동,192861,458363,22,49,13150278,11792927,2653,11534933
응암역 3번,은평구,역촌동,192780,455968,347,55,130118779,65129774,20557,65466978
응암정보도서관,은평구,응암3동,192812,454074,186,47,10796868,4333892,1699,5839535
신진과학기술고등학교,은평구,응암1동,192849,455298,48,58,6293586,1800400,969,1889515
연신내역 4번,은평구,대조동,193000,457351,124,53,27643841,10558730,6141,11515714
구산역 1번,은평구,대조동,193014,457016,238,51,8289153,5588985,577,1365856
백련산해모로아파트,은평구,응암1동,193130,455354,74,52,85598298,42719623,12567,42437627
은평세무서,은평구,녹번동,193336,455907,81,55,63282207,10882040,8977,36839397
연신내역 2번,은평구,불광2동,193382,458068,60,48,22331999,10643389,4896,9780441
불광역 7번,은평구,대조동,193522,456966,78,49,74673610,34553279,17139,36978915
연신초등학교,은평구,불광2동,193583,458450,26,54,13271648,36687,2109,5830231
역촌역 3번,은평구,녹번동,193559,456301,213,48,4344761,3033935,1204,1733676
연신내우체국,은평구,불광2동,193759,458017,66,50,28773738,12766197,9739,12293206
은평구청,은평구,녹번동,193642,455881,54,55,198375625,55215277,37000,102352178
불광역 8번,은평구,불광1동,193806,456935,2,37,91143829,36224478,21969,43908739
우리은행응암동지점,은평구,응암1동,193806,455674,90,57,14015863,9079002,2553,10812441
북가좌2동주민센터,서대문구,북가좌2동,192016,453516,208,54,113946354,71071572,18344,71336347
모래내우체국,서대문구,북가좌2동,192218,453273,42,53,83702962,44418733,30977,40583770
증산역 1번,서대문구,북가좌2동,192362,454070,102,51,73012910,49805728,18024,32534583
연가초등학교,서대문구,북가좌2동,192836,453604,193,56,8373584,2469263,740,2036993
남가좌동현대아파트,서대문구,남가좌2동,192917,452686,3,71,56362052,18403509,8731,21958270
연희어린이공원,서대문구,연희동,193028,452001,29,64,32256414,24469545,4878,17319992
남가좌파출소,서대문구,남가좌2동,193174,452938,59,48,18126758,12258076,3675,9273667
명지대학교교회,서대문구,남가좌2동,193247,453681,111,46,328172355,111230372,55091,130697229
명지대학교,서대문구,홍은2동,193437,453250,165,47,507422137,173827505,136483,203123237
서연중학교,서대문구,연희동,193595,452248,18,65,476513604,328996324,77273,262469096
연희대우아파트앞,서대문구,신촌동,193678,451158,84,50,396818211,183513153,86979,173529116
홍연시장,서대문구,연희동,193904,453009,21,55,38684753,20917201,7748,28497175
연희초등학교,서대문구,연희동,194055,451806,99,64,123619124,9006139,23870,59404709
연희파출소,서대문구,연희동,194116,452409,22,72,124920083,64335640,15100,57915931
서대문우체국,서대문구,신촌동,194063,451114,20,45,191432397,110783215,33501,62215426
서대문소방서,서대문구,연희동,194394,452679,23,104,10924842,5385370,1340,7242331
서대문구보건소별관,서대문구,홍제1동,194442,453988,117,57,11233225,9537763,2793,8807023
경의중앙 신촌역,서대문구,신촌동,194757,450919,22,56,16509530,8321281,4640,5400346
홍제역 4번,서대문구,홍제1동,194925,454327,8,47,21735594,9423715,4243,15497492
홍제역 3번,서대문구,홍제1동,195088,454097,36,59,8573848,1670676,1910,4381100
연희세브란스병원,서대문구,신촌동,195078,451634,3,43,345689628,83298816,42994,164741769
홍은종합사회복지관,서대문구,홍은1동,195233,455053,4,59,84149637,52684167,27722,39130401
봉원사,서대문구,신촌동,195306,452138,22,39,87179937,863268,5989,36499151
홍제역 2번,서대문구,홍제3동,195323,454390,29,48,8725555,1627440,1196,4465301
서울여자간호대학교,서대문구,홍제3동,195385,455125,31,54,62655247,36896227,13047,32923568
홍제3동주민센터,서대문구,홍제3동,195418,454778,63,55,14601863,8987797,2520,6010038
아현역 2번,서대문구,북아현동,196252,451127,26,62,766317,585830,81,342368
충정로현대아파트,서대문구,충현동,196781,451522,4,63,33784313,5571171,5948,17018145
충정로역 3번,서대문구,충현동,196883,451251,1,67,90538167,2890203,2700,13911374
미근동,서대문구,충현동,197093,451559,1,46,133754626,187280,15987,75063005
동교초등학교,마포구,망원2동,191287,450928,119,49,70847002,66249762,12056,34280365
마포구청역 7번,마포구,망원2동,191345,451292,123,50,179115580,91619097,43419,63007516
중암중학교,마포구,성산2동,191421,452638,27,50,17744532,7177008,3888,8488736
망리단길,마포구,망원1동,191619,450607,339,46,1029803416,865284111,243738,522035739
마포구청역 1번,마포구,성산2동,191544,451746,23,44,350025917,164689786,101422,158515450
양화대교북단,마포구,합정동,191662,450075,99,48,49657914,17518508,7547,22471191
KB국민은행 망원동지점,마포구,망원2동,191646,451113,52,51,104714029,44140187,28126,38820341
마포구청역 4번,마포구,성산1동,191712,451412,87,46,93300307,51855550,22164,53260872
새터산,마포구,성산2동,191929,451850,60,52,8457188,3082471,2008,4209863
합정역 8번,마포구,합정동,191993,450196,185,50,228926494,101812036,39525,119171312
성서초등학교,마포구,성산1동,192011,451116,120,58,66459121,31307605,12578,26957717
가좌역 2번,마포구,성산2동,192127,452064,64,48,23405525,12594475,3995,13681056
망원역 1번,마포구,서교동,192277,450762,128,49,185528654,60736539,24951,79847352
홍익지구대,마포구,서교동,192243,450433,5,65,53291921,10169473,7269,24712972
홍대부속여중고앞,마포구,서교동,192530,450970,82,51,124031267,28240076,19145,71996538
경성고등학교,마포구,성산1동,192565,451651,238,53,330199568,140824865,45833,197131829
성산중학교,마포구,합정동,192688,449683,73,51,725696720,557546519,87499,335059161
마포FM,마포구,연남동,192787,451180,41,50,9285619,1521684,1156,4249299
상수역 4번,마포구,서강동,193020,449646,94,43,397443534,217385285,54757,161862933
