상권명,자치구,법정동,엑스좌표_값,와이좌표_값,아파트_단지_수,아파트_평균_면적,주중_매출_금액,주말_매출_금액,당월_매출_건수,시간대_11~14_매출_금액
금천철쭉어린이공원(금하마을),금천구,독산1동,190327,439326,11,50,3657300,4455191,1018,3024779
가산동우체국,금천구,가산동,190558,442071,25,47,6701062,1702200,1588,1811549
서울축산농협 독산역지점(독산파출소),금천구,독산1동,190703,440614,54,41,13537276,7462724,2352,4422147
금천구청역 1번 출입구,금천구,시흥1동,190837,439525,12,49,334479975,37613366,37338,132835199
가산초등학교(세일중학교),금천구,독산1동,190933,441835,30,51,89055909,15798085,11557,39878172
말미고개,금천구,독산2동,191078,440370,75,47,6861843,8138157,2495,5283231
독산119안전센터,금천구,독산4동,191226,440910,98,53,5351945,3403729,1294,1693822
문성초등학교,금천구,독산3동,191269,441435,40,49,21694361,40155967,2099,10283345
KT금천빌딩(금천구시설관리공단),금천구,시흥1동,191404,438635,3,49,61066293,54656103,10921,34860599
시흥초등학교(시흥1동우체국),금천구,시흥1동,191533,439560,65,45,7855951,5727127,448,467261
독산동성당,금천구,독산4동,191524,441254,99,58,41645512,22829932,8767,13090403
독산동정훈단지,금천구,독산2동,191510,440729,35,52,83206565,46112218,30022,38516147
석수역 1번 출입구,금천구,시흥3동,191566,437249,36,58,24342532,15243700,4837,16327241
금산초등학교(금천고등학교),금천구,시흥3동,191606,438077,124,58,18890710,8109290,3518,8892085
시흥4동주민센터(서울신흥초등학교),금천구,시흥4동,191736,439818,50,51,99955263,57015661,37061,44957080
한울중학교,금천구,시흥4동,191944,440258,146,51,2986477,2593004,823,2113181
시흥동 은행나무사거리,금천구,시흥5동,191899,438831,85,52,71517207,39167179,20225,36480942
동일여자고등학교,금천구,시흥2동,192287,439057,17,51,68942975,32178398,19611,32598711
문래중학교,영등포구,양평1동,189708,447052,1,67,7260257,1446547,1685,3586312
양평역 2번,영등포구,양평1동,189756,447266,6,45,68057066,30303730,13045,31497449
선유도역 6번,영등포구,양평2동,190490,448546,4,53,612988697,125150272,141598,299813496
선유도역 1번,영등포구,양평2동,190523,448983,140,43,840421515,329459053,149959,429472941
영등포구청역 2번,영등포구,당산1동,190681,447439,16,46,520538210,77948650,73800,276417498
대림역 5번,영등포구,대림3동,190843,444085,63,43,8585009,6321862,263,0
영등포구청역 6번,영등포구,당산1동,190958,447050,11,43,11866037,12133963,1680,6070856
당산반도유보라팰리스아파트,영등포구,당산2동,191142,447658,13,39,30641475,7369040,5221,17242963
도신초등학교,영등포구,대림3동,191374,444236,45,52,1906094,307573,222,687766
구로디지털단지역 4번,영등포구,대림2동,191373,443246,30,44,55573434,21957592,8364,22818337
영등포푸르지오아파트,영등포구,도림동,191520,445527,31,50,4965115,1034885,813,1632151
당산역 8번,영등포구,당산2동,191584,448284,41,40,7925340,1414989,764,4902669
대림성모병원,영등포구,대림1동,191713,443474,21,52,79122824,25085818,11425,37616213
신풍역 3번,영등포구,신길5동,191799,444488,1,82,18583019,8432716,4430,10603630
영등포역 2번,영등포구,도림동,191832,445827,49,50,122093442,71392435,26243,60759019
영동초등학교,영등포구,당산2동,191894,447582,25,45,163875383,61347619,23804,89135539
신풍역 1번,영등포구,신길6동,192291,444455,18,60,16686803,12803334,3502,8923105
영신초등학교,영등포구,신길1동,192632,445721,28,43,104540679,57388390,31987,45639163
신길6동주민센터,영등포구,신길6동,192681,444264,19,45,242922513,83670969,60227,125576290
보라매역 6번,영등포구,신길6동,192848,444620,19,38,31372981,189721,7908,16740403
서울지방병무청,영등포구,신길7동,193077,445339,14,57,92457963,34535228,17118,58226445
공군호텔,영등포구,신길1동,193118,445802,47,45,151741920,78316427,31052,66513332
신대방역 4번,동작구,신대방1동,192134,443262,55,47,157147565,82460195,30220,78895043
성남고등학교,동작구,대방동,193252,444990,54,54,58512116,28226060,13156,23235480
보라매역 2번,동작구,신대방2동,193222,444165,98,56,118076847,24001957,16282,61514656
신대방삼거리역 3번,동작구,신대방2동,193495,443992,47,58,108422187,48075955,21344,43236275
대방역 3번,동작구,대방동,193544,445834,6,54,110486753,36310514,25654,49996904
신대방삼거리역 1번,동작구,상도3동,193977,444086,181,58,16841945,12954416,4634,7789481
장승배기역 4번,동작구,상도2동,194212,444888,65,51,35742270,19844920,4578,13188319
NH농협은행 상도동지점,동작구,상도4동,194245,444648,32,51,67546243,37397353,14692,37297921
노량진역 6번,동작구,노량진2동,194358,445728,67,55,213471669,37002150,43970,123931533
상도초등학교,동작구,상도4동,194593,444510,64,50,13662765,4600040,1321,2650668
상도4동주민센터,동작구,상도4동,194748,444356,64,53,37240256,18613883,13160,15695862
상도역 2번,동작구,상도2동,195157,444896,33,54,3159959,2194295,660,1916891
상도역 5번,동작구,상도1동,195705,444812,179,55,431306544,165091247,116917,183668219
숭실대입구역 1번,동작구,상도1동,195884,443947,70,58,209472680,83548291,43767,112624140
숭실대입구역 4번,동작구,상도1동,196190,443894,8,55,770132475,242593799,232557,359737105
중앙대학교,동작구,흑석동,196335,445395,27,64,565095830,176132538,160243,205070338
흑리단길,동작구,흑석동,196906,445314,1,60,232641228,84182298,49271,87790998
남성역 1번,동작구,사당4동,197550,442407,186,49,193592616,85546476,47069,79848076
예술인마을,동작구,사당1동,197545,441956,144,60,25794301,8159730,6296,11402261
양지어린이공원,동작구,사당1동,197855,442468,92,47,5200043,2477021,1078,2697751
사당역 10번,동작구,사당1동,198068,442220,112,49,246255918,156197238,49563,98401252
이수역 9번,동작구,사당1동,198205,442660,13,53,13685955,15334611,2734,6049423
KT구로지사,관악구,조원동,191353,442391,29,39,68670273,13589738,10797,32479160
조원동주민센터,관악구,조원동,191838,442556,26,54,21564114,7017810,4421,9558591
신대방역 2번,관악구,조원동,192238,442777,50,45,187384049,101591486,57999,69153171
미성초등학교,관악구,미성동,192319,442269,67,44,41531601,30576201,9521,15500315
신대방역 1번,관악구,신사동,192456,443061,3,24,71480433,38815442,17477,19476324
난향초등학교,관악구,난향동,192625,440416,39,59,35691736,13825151,6308,17802532
호림박물관(성보고등학교),관악구,미성동,192858,442483,25,47,4006744,1993256,1432,1576126
관악구신사동주민센터,관악구,신사동,192729,442721,72,58,42307642,18039349,11223,19019547
난우초등학교,관악구,미성동,192760,441872,71,53,112229908,48553092,28885,43577432
남강고등학교(남강중학교),관악구,난곡동,193005,441570,192,49,193162069,94837931,66908,79046049
난우중학교,관악구,난곡동,193145,441089,51,48,24665317,14334683,8105,11161387
남부초등학교,관악구,신사동,193212,442810,41,47,17643790,12766326,2889,3816860
"신림역 5번(신림동주민센터, 신림동별빛거리)",관악구,신림동,193410,443070,96,43,171616671,95905472,36639,61718105
신원동주민센터,관악구,신원동,193568,442344,11,44,71912888,29451793,13832,37391720
당곡중학교,관악구,보라매동,193763,443532,59,54,38902356,22195719,9609,13683709
보라매동주민센터(당곡고등학교),관악구,보라매동,194004,443276,53,60,20577242,13123971,4434,6523413
신림역 8번,관악구,신림동,194080,442990,31,32,325623991,132747635,27348,77588868
신림현대아파트,관악구,삼성동,194114,441623,4,57,12723094,5095291,3067,6528026
신림역 1번,관악구,서원동,194115,442727,17,55,2166985,2715106,778,2797961
구립대학경로당(관악산샘말공원),관악구,대학동,194358,440921,39,51,726545427,345627896,246879,292869131
신성초등학교,관악구,서림동,194361,441512,50,50,61520205,27473423,11651,33523609
은천초등학교(은천교앞),관악구,보라매동,194431,443088,56,53,22780742,10340149,4316,8020435
봉천역 4번(봉천110안전센터),관악구,은천동,194626,442864,5,56,18229760,4429226,214,777057
영락고등학교,관악구,서림동,194629,441770,78,51,11787088,9393371,3251,5874801
관악해태어린이공원,관악구,서림동,194687,441400,17,54,112266755,56121485,40335,57575041
청룡동주민센터,관악구,청룡동,195012,442181,7,41,35604830,21741976,6380,17809843
봉천역 1번(관악초등학교),관악구,청룡동,195190,442296,27,54,23126559,20165882,5359,10931822
구암초등학교,관악구,성현동,195414,443215,23,54,54634891,13913996,11684,19907565
관악구 중앙길,관악구,중앙동,195677,442761,146,56,45323268,26251073,12121,16516304
샤로수길,관악구,낙성대동,196117,441883,89,61,261414608,174032146,45597,101618758
관악우성아파트,관악구,행운동,196226,442968,1,29,10984651,3960434,2486,5953518
서울대입구역 8번,관악구,행운동,196233,442468,45,50,10999251,9701712,2399,3515075
낙성대역 1번(관악구민 종합체육센터),관악구,인헌동,196764,441656,124,53,75527183,50214778,22028,23425894
인헌고등학교(인헌중학교),관악구,인헌동,197183,441216,127,56,50238340,39432304,13983,28565757
사당역 4번,관악구,남현동,198001,441642,166,66,87920343,59520520,21127,64239006
방배아이파크아파트,서초구,방배본동,198645,443636,64,59,86035263,17385024,14167,28458224
이수역 5번,서초구,방배2동,198658,442868,19,52,57616511,27769545,14689,31254974
방배노인종합복지관(이수중학교),서초구,방배2동,198767,442486,98,61,28160402,5084964,3991,5818743
방배초등학교,서초구,방배4동,198700,443064,89,57,34062921,16771328,6182,15365746
구반포역,서초구,반포본동,198833,444737,2,119,1626085,137047,200,1315034
남태령역(서울전자고등학교),서초구,방배2동,199023,440767,7,71,29656341,7231280,4087,18145450
방배동사이길,서초구,방배본동,199133,443860,4,54,343740489,94225976,77289,168358090
방현초등학교(방배119안전센터),서초구,방배3동,198951,441910,133,57,7301573,419170,417,1914330
서래초등학교,서초구,방배본동,199372,443950,54,156,441728248,224013415,45187,230849856
내방역 4번,서초구,방배1동,199314,442867,106,52,98376168,19306322,8540,22073321
방배역 3번,서초구,방배1동,199432,442516,85,57,4260344,0,216,3612815
서울프랑스학교,서초구,반포4동,199704,444220,42,105,160648858,23393509,4726,29028232
내방역 1번,서초구,방배1동,199733,442978,68,63,34798424,13156644,4911,18936409
반포4동주민센터(몽마르뜨공원),서초구,반포4동,200061,444151,71,112,99336119,37484523,3170,62483782
서초중학교,서초구,서초3동,200617,443038,72,76,129826047,31141794,25364,70511251
신중초등학교,서초구,서초3동,200709,442463,90,69,48765412,5132359,8072,29178805
남부터미널역 1번,서초구,서초1동,201821,443233,61,81,7199738,243914,956,5089309
서초동성당,서초구,서초1동,201869,443675,16,81,27604229,2261892,4224,12347535
삼성전자서울R&D(서울우면초등학교),서초구,양재1동,201846,440746,2,123,635285815,40645155,76796,361633144
우면주공아파트,서초구,양재1동,202315,441057,59,63,59032440,4216745,5057,45570316
더케이호텔(양재리본타워2단지아파트),서초구,양재2동,203096,440710,18,88,793269824,149147708,65133,642705617
방아다리근린공원(횃불트리니티신학대학원대학교),서초구,양재1동,203216,442094,18,195,269474414,0,36917,154133972
바우뫼공원,서초구,양재1동,203215,441748,23,58,277803501,152484203,40200,189873009
양재역 8번(양재동우체국),서초구,양재1동,203504,442512,132,66,731590763,51034816,91505,458909802
언남고등학교,서초구,양재2동,203702,441596,16,46,79475467,2990897,9572,39666256
염곡동 구룡사(포이동성당),서초구,양재2동,204060,441129,233,56,287833686,97512817,42375,175527728
법제교육센터(버들어린이공원),서초구,양재2동,204103,441561,38,52,58599721,16951882,6313,38788714
청계산원터골,서초구,양재2동,204990,438236,1,56,118928746,96422325,11934,100806244
한남IC,강남구,신사동,201701,446824,3,77,141966640,42588730,18096,70275435
신사은행나무공원,강남구,신사동,202237,446807,15,49,23087775,15145924,1863,17784896
국기원,강남구,역삼1동,202530,444776,3,38,1428987863,1005249423,152774,498318411
논현초등학교,강남구,논현1동,202603,445503,175,48,44633476,12957761,4503,16387120
언북중학교,강남구,논현2동,202797,446468,45,59,271203738,37004299,40049,137968446
역삼역 4번,강남구,역삼1동,202887,444846,22,73,91257847,16055230,15876,53399287
언주역 3번,강남구,논현2동,203028,445716,47,61,87160945,14067294,9389,59367305
언주역 6번,강남구,역삼1동,203346,445193,62,48,84679327,5193215,11672,41136980
논현2동주민센터,강남구,논현2동,203386,446575,50,59,229399997,35092376,32662,118819410
역삼역 8번,강남구,역삼1동,203374,445011,30,49,42097449,5847361,5209,28139796
강남구청역 2번,강남구,논현2동,203552,446131,11,67,18813641,0,2785,11360181
강남세브란스병원미래의학연구센터,강남구,역삼2동,203759,443901,55,53,78777799,13333188,9988,37436978
언북초등학교,강남구,청담동,204115,446924,45,65,39562197,16166000,2500,18051768
개포지구대옆,강남구,개포4동,204236,442346,70,59,29267653,9638023,4254,16556444
국악고교사거리,강남구,개포4동,204328,441797,54,54,276782076,123369258,38649,142883154
국립국악고등학교,강남구,개포4동,204448,442053,64,57,49967175,21243504,8620,31135353
포이초등학교(개포목련어린이공원),강남구,개포4동,204610,441598,101,53,164004853,48850321,27158,83859359
청담근린공원,강남구,청담동,204605,447083,27,97,28699452,1697910,2531,19490935
대치동아우편취급국,강남구,대치4동,204819,444825,52,45,32355489,1750400,3599,20201489
청담역 12번,강남구,청담동,204869,446787,6,58,30081753,18326064,5382,19391496
도곡초등학교,강남구,대치4동,205007,444509,198,53,76361907,43624496,19513,31221969
개포고등학교,강남구,개포2동,205433,442662,51,58,117852665,45555773,30141,66921382
대치2동주민센터,강남구,대치2동,205656,444713,20,83,117141855,32058786,17477,71767353
대청초등학교,강남구,일원1동,207481,443569,137,51,399413232,168519329,74526,201903242
윗방죽마을공원,강남구,세곡동,209190,441356,3,51,667034147,251786145,188656,372058970
아래방죽마을공원(율현초등학교),강남구,세곡동,209611,441303,10,80,43175962,15885991,5951,30063657
삼전역 4번,송파구,잠실본동,207293,444982,389,48,736602009,356823738,131139,278286459
삼전역 1번,송파구,잠실본동,207529,445253,290,44,462591923,252524183,103221,201801091
삼전역 3번,송파구,삼전동,207842,444670,285,50,55948318,16447897,8778,22401965
석촌고분역 1번,송파구,삼전동,208309,445053,323,46,185265372,81042923,36053,90721511
석촌고분역 4번,송파구,삼전동,208301,444502,328,49,31804403,7348388,5391,16449133
석촌고분역 3번,송파구,석촌동,208871,444507,160,52,35945030,13909092,5449,22877884
석촌역 7번,송파구,석촌동,208985,445109,381,47,90232214,70493813,16972,52984168
석촌역 6번,송파구,석촌동,209339,444753,219,51,79197637,36503429,7776,15954213
송파나루역 1번(송리단길),송파구,송파1동,209567,445551,300,48,411510837,299979549,40493,203364533
송파나루역 2번,송파구,방이2동,209833,445902,105,51,63634552,23836735,9379,18491773
석촌역 3번,송파구,송파1동,209895,445180,343,47,149483588,73182640,24032,77882398
송파역 2번,송파구,송파2동,210199,444586,102,52,58561818,21530330,6474,17425838
송파나루역 3번,송파구,방이2동,210209,445524,39,49,35213263,13853267,6883,24483406
한성백제역 3번,송파구,방이2동,210404,446016,264,56,139615618,54562130,38501,74033048
방이동고분군(방산고등학교),송파구,방이1동,210664,445286,10,59,144891162,55232648,27781,62827356
방이역 4번,송파구,방이1동,210857,445756,269,63,297432764,133081171,44569,150353855
석촌중학교(방이육교),송파구,가락본동,211018,444834,89,55,6864612,2330783,1527,3981880
문정역 1번,송파구,문정1동,210889,443165,69,44,96288707,18792187,14235,61101891
경찰병원역 4번(건너말공원),송파구,가락본동,210919,443695,48,48,5449522,550478,569,2944022
경찰병원역 3번,송파구,가락2동,211131,443863,116,48,24861901,6240580,4165,13659161
문정역 2번,송파구,문정1동,211145,442739,117,49,253868550,77368242,56897,103580755
문정초등학교,송파구,문정1동,211186,443249,168,46,133506002,41957577,26227,66580480
문현중학교(장지역 1번),송파구,장지동,211262,442494,52,40,91176510,30109889,12674,34267951
오금역 4번,송파구,가락2동,211264,444277,19,49,8258176,3693683,889,2416082
방이역 2번,송파구,오금동,211448,445215,51,54,119310431,43698479,30156,62646412
장지동주민센터(한림연예예술고교),송파구,장지동,211550,442964,103,48,145787075,65896181,22170,68827363
방이역 1번,송파구,오금동,211513,445488,24,71,27009657,9416204,6687,12897549
문정동성당,송파구,장지동,211788,443156,17,45,66150541,24773853,16905,25050517
오동나무공원(송파레미니스1단지),송파구,오금동,211895,445248,99,53,45799324,17661815,8260,21343859
오금공원(오주중학교),송파구,오금동,211906,444832,126,53,82696612,48636871,18881,36947578
투구봉어린이공원,송파구,가락2동,212118,443829,48,49,18368559,6283780,3631,9903232
Sh수협은행 오금동금융센터(아랫말어린이공원),송파구,오금동,212170,445014,9,55,34945275,23057295,6986,18831626
보인중학교,송파구,오금동,212297,444483,91,48,410462755,139575686,60004,226401227
벌말어린이공원,송파구,오금동,212262,444754,40,50,102684761,71333404,16089,53546683
거여초등학교,송파구,오금동,212430,444869,71,54,5534814,886658,767,3020620
거여역 1번(거여공원),송파구,거여1동,212696,444196,88,49,69379270,38203449,17549,39023232
남천초등학교,송파구,마천2동,213170,444431,83,49,43929184,14357035,8467,21386529
마천역(마천초등학교),송파구,마천1동,213476,444071,106,52,121157552,68475501,35612,59581700
마천1치안센터,송파구,마천1동,213853,444135,37,54,1968482,1712932,430,1407381
천호역 1번(천호문구완구거리),강동구,천호2동,210722,449052,17,52,4543756,1095325,571,2807653
천호지구대(천호동자전거거리),강동구,천호2동,210912,449349,102,45,82627008,44732712,28132,32825510
강동구청(강동구청역 2번),강동구,성내1동,211002,447924,21,48,66297368,18003739,16965,33834303
천호역 6번,강동구,성내2동,210995,448365,85,45,34834312,29953113,5172,18686376
암사역 3번(천호동자전거거리),강동구,천호2동,211055,449828,110,48,66893983,32093738,12628,32868084
성내천어린이공원(하니사랑길),강동구,성내1동,211079,447418,101,67,185504694,139302799,38650,104137039
천호태영아파트,강동구,천호3동,211384,448701,4,14,25344333,15681533,6712,9715498
천호공원(해공체육문화센터),강동구,천호2동,211478,449321,58,47,86273317,29356406,13945,29564651
성내중학교,강동구,성내1동,211510,447825,56,48,20338950,9661050,4361,8944420
강동역 4번(강풀만화거리),강동구,성내2동,211519,448272,182,49,161752974,73155280,46957,83304806
암사역 2번(서울강동초등학교),강동구,천호2동,211503,449728,191,48,93581803,31013818,24671,41190909
암사역 1번,강동구,암사1동,211593,450267,191,48,67314451,43612090,11833,34164300
둔촌동역 3번(성내3동주민센터),강동구,성내3동,211636,447220,60,67,106341604,131876825,20414,89412221
강동구립 천호도서관,강동구,천호3동,211691,448962,53,43,16117785,11672744,4919,11412655
둔촌동역 4번,강동구,성내3동,211697,447577,47,55,6997785,725847,638,3842700
암사동성당(효정하나플러스아파트),강동구,암사1동,211877,449977,143,49,112898009,46866470,34304,47158632
강동구립성내도서관,강동구,성내3동,211931,448063,229,50,18797056,12481152,3975,9747810
강동성심병원,강동구,길동,211962,448499,1,90,450786300,113885716,73663,179378175
천호1동주민센터,강동구,천호1동,212044,449449,83,45,29812066,13397060,6508,13529878
천동초등학교,강동구,길동,212285,448978,34,55,6682859,1687706,796,1935559
굽은다리역 1번(십자성마을),강동구,천호1동,212306,449281,141,55,100835827,52251465,20059,40456769
둔촌동역 1번(한산중학교),강동구,둔촌2동,212348,447971,145,52,189802442,54970163,20360,107007138
명일역 1번,강동구,암사1동,212387,450205,48,50,43335078,18989867,7547,17796284
굽은다리역 2번,강동구,천호1동,212465,449915,81,52,146239493,78025495,24942,54742482
둔촌2동주민센터,강동구,둔촌2동,212654,448239,32,52,195413828,81347555,43268,90649960
길동주민센터(강동도서관),강동구,길동,212662,448642,195,55,48937964,15094561,12014,20318989
굽은다리역 4번,강동구,길동,212791,449269,150,53,109241821,66145296,26900,43591812
둔촌고등학교(둔촌중학교),강동구,둔촌2동,212802,447928,39,61,5551880,0,650,2345306
굽은다리역 3번,강동구,명일1동,212907,449841,34,51,272388055,434660005,86782,241218857
GS강동자이아파트,강동구,길동,213004,448764,58,48,144971738,74531942,28199,67918783
묘곡초등학교(고덕아이파크아파트),강동구,고덕1동,213598,451279,51,56,9509430,2991018,1958,4493564
한영중고,강동구,명일2동,213661,449837,33,43,261932891,95914930,75762,105826488
고덕중학교(고덕2동주민센터),강동구,고덕2동,214375,451335,21,44,10023213,4976787,2503,4243816
고덕동성당,강동구,고덕2동,215015,451172,20,43,70776047,48620760,10476,27387616
상일여고(상일초등학교),강동구,상일동,215142,449858,78,47,130413690,32067022,24590,83364105
서대문역,종로구,교남동,197004,451905,5,45,707994320,104938497,119675,340241772
서촌(경복궁역),종로구,사직동,197511,453304,15,77,2753457212,1728105360,374094,1412456260
광화문역,종로구,사직동,197756,452492,3,131,7579960113,1746051366,1033475,4237997231
종로구청,종로구,종로1?2?3?4가동,198330,452729,2,113,1340834987,112101956,193047,769850617
삼청동,종로구,삼청동,198327,453771,2,164,2775267886,2261743309,270599,1881352458
북촌(안국역),종로구,가회동,198741,453290,9,71,3491849041,1713775303,563451,1872642738
종로3가역,종로구,종로1?2?3?4가동,199178,452457,5,34,4117911706,1723361022,702865,1726038127
원남동사거리,종로구,종로1?2?3?4가동,199800,452831,3,20,377361233,12410367,61551,159952538
대학로(혜화역),종로구,혜화동,200117,453688,29,53,3940432368,2385689255,733067,1628354316
이화사거리,종로구,종로5?6가동,200140,452821,3,25,780321700,196206520,91357,435183807
종로5가역,종로구,종로5?6가동,200205,452485,1,55,1226635424,187666633,211878,649985297
동대문역,종로구,창신1동,201005,452410,1,25,123152262,64281001,40637,52173603
동묘앞역(동묘),종로구,창신1동,201294,452578,4,25,246745500,110661125,43477,104501464
중림동,중구,중림동,197143,451108,4,27,782804971,130962210,109092,444765619
회현역,중구,회현동,198144,450868,9,73,364177826,83508682,67572,190482847
명동역(명동재미로),중구,명동,198568,451138,4,72,774171497,240000382,130292,443985438
충무로역,중구,필동,199553,451319,4,81,2895962431,558372592,514947,1502237655
중구청(퇴계로4가),중구,광희동,199832,451557,1,28,49521723,21428083,4220,395403
퇴계로5가,중구,광희동,200172,451544,3,65,217941051,17968072,35143,110784886
장충동족발거리(남소영길),중구,장충동,200486,451165,2,31,357660374,147974235,51491,197144121
동대문역사문화공원역,중구,광희동,200652,451769,11,50,1541417848,474407121,310259,632660847
약수역,중구,다산동,200886,450529,37,62,340586417,160788608,72736,141531357
신당역,중구,신당동,201389,451766,8,64,545744376,148828617,130740,202127252
용산전자상가(용산역),용산구,한강로동,196602,448198,12,41,718236819,74528504,135366,357411956
신용산역(용산역),용산구,한강로동,196759,447723,13,80,2307638440,317592225,263808,1217372482
"숙대입구역(남영역, 남영동)",용산구,남영동,197505,449194,3,59,771115259,281096828,127621,300211085
삼각지역,용산구,한강로동,197638,448269,14,46,226218105,73346199,34246,118284098
남영동 먹자골목,용산구,남영동,197641,449262,1,55,696524618,206489386,66651,254070409
이태원(이태원역),용산구,이태원1동,199539,448381,34,87,1491059649,1143147065,202500,540129737
한남오거리,용산구,한남동,200669,448168,5,65,444716034,111200408,87198,199255060
금호역,성동구,금호4가동,201735,449865,20,48,17425827,14631743,3295,5729815
왕십리역(왕십리),성동구,행당1동,203287,451265,26,51,425254486,185450372,77339,166186629
서울숲역,성동구,성수1가1동,204150,449189,7,50,119223203,59547607,12896,77994698
뚝섬역,성동구,성수1가2동,204279,449686,13,39,2666900407,1247349856,341407,1415036877
성수역,성동구,성수2가3동,205008,449464,9,48,1765792356,723979884,280105,779605845
건대입구역(건대),광진구,화양동,206135,449004,24,40,5065934631,2971445318,1022138,1705250187
어린이대공원역,광진구,군자동,206380,449814,26,56,519069571,256821644,112957,175091511
군자역,광진구,군자동,207011,450848,72,46,834191390,418761012,170394,322976598
구의역,광진구,구의1동,207505,448675,50,39,515284030,190436851,115370,207718388
아차산역,광진구,중곡2동,207685,450529,57,52,891490155,561306446,292769,436076923
구의사거리,광진구,구의1동,207770,449446,31,53,23215914,12674798,6287,11103959
구삼강변맛길,광진구,구의3동,208190,448825,38,59,340339523,171836020,62630,148558049
올림픽대교북단,광진구,구의3동,208468,449028,1,27,68095583,28277527,22758,27795963
신설동역,동대문구,용신동,202164,452823,13,38,850449064,192320783,158537,415916120
청량리역(청량리),동대문구,전농1동,204223,453496,6,42,414465966,180914271,112525,193066325
경희대학교(경희대),동대문구,회기동,204632,454773,2,20,2926206802,900749173,516546,1336488493
회기역,동대문구,휘경1동,205089,454430,5,57,405231853,232242951,122145,156373325
장한평역(장한평),동대문구,장안1동,205699,451402,43,47,776260980,187167505,162226,352298180
장안동사거리,동대문구,장안2동,206315,452490,40,63,603801546,295061718,168048,260214828
사가정역,중랑구,면목3?8동,207784,453510,3,28,799725922,445874607,174261,304137336
상봉역,중랑구,상봉2동,207750,455204,46,42,563172484,313658238,167251,228611183
한성대입구역,성북구,삼선동,200722,454401,5,35,325008318,159773360,65975,132901228
성북구청,성북구,삼선동,201404,454424,3,39,122970937,36563516,19029,53388593
성신여대,성북구,동선동,201545,454756,16,26,5108195986,2606014068,1121975,1500514041
미아사거리,성북구,길음2동,202573,456478,5,43,421994088,166966168,106891,219225748
안암역,성북구,안암동,202609,454032,1,18,720737733,188749441,170143,271863440
월곡역,성북구,월곡2동,203715,455955,10,45,612974553,165952684,168646,277234180
수유역,강북구,수유3동,202206,459794,38,48,1801957554,794862292,352033,637179793
미아역,강북구,미아동,202289,458452,12,42,342834056,120892092,78738,132081891
미아사거리역,강북구,송중동,202731,457002,3,39,655871592,362996520,152676,193863835
노원역,노원구,상계2동,205487,461761,2,52,4869287156,2687600300,1218084,1753661864
상계백병원,노원구,상계6?7동,205497,460926,1,37,61131985,20630724,19439,24309722
공릉역,노원구,공릉1동,206501,458455,20,55,893254360,551425522,171925,351807724
태릉입구역,노원구,공릉1동,206799,457730,9,59,422049345,205353212,92747,192540363
응암역,은평구,응암1동,192572,455461,41,52,100765645,63628141,32538,42833731
구산역,은평구,갈현2동,192675,456931,20,53,428737457,202967492,149453,152752593
구파발역,은평구,진관동,192798,459742,8,67,549349605,256774296,127612,261072858
연신내역,은평구,불광1동,193120,457722,40,42,381303249,207574283,125749,162693121
본서부병원,은평구,응암1동,193119,455668,62,54,253190672,117700437,59661,104817551
불광역,은평구,대조동,193770,456561,23,47,69658556,37113292,21858,29329550
연희동,서대문구,연희동,193815,451927,14,53,1368270674,888557767,202891,707593617
"신촌역(신촌역, 신촌로터리)",서대문구,신촌동,194382,450780,17,28,3811412722,1809446760,858460,1228269090
홍제역,서대문구,홍제1동,195120,454298,7,59,252525312,108476109,90462,113163525
"이화여대(이대역, 이대)",서대문구,신촌동,194941,450990,3,51,1033154682,368242477,237072,359669423
충정로역,서대문구,충현동,196738,451218,5,33,800814784,56277371,78408,473090324
망원역,마포구,망원1동,192088,450652,29,48,476573614,245971772,109767,199040600
합정역,마포구,서교동,192355,449998,69,56,2019541537,945201188,507619,840567010
서교동(홍대),마포구,서교동,192713,450597,75,56,1386389515,433326522,195837,641127146
홍대입구역(홍대),마포구,서교동,192825,450117,67,52,6855845940,4530095096,1230306,2639305802
연남동(홍대),마포구,연남동,193150,451174,186,47,5178876531,2840918252,913418,1869950089
상수역(홍대),마포구,서강동,193209,449875,32,41,2119980113,1229567121,288854,1106415596
마포역,마포구,용강동,195229,448938,2,47,689400280,92823517,139645,325558821
공덕역(공덕오거리),마포구,도화동,195756,449256,6,110,1175907653,207721191,245750,548363340
신정네거리역,양천구,신정4동,186973,446939,56,42,493356790,234277930,106583,175136471
서울남부지방법원,양천구,신정1동,187627,446919,35,50,320415319,90626837,49873,172841782
목동역 8번출구,양천구,신정4동,187758,447371,35,58,469998622,199069519,123234,213527417
목동사거리,강서구,화곡4동,187899,448051,43,46,147062863,78199308,42902,51920497
등촌역,양천구,목3동,188046,450164,69,40,842578170,431780140,188422,455792501
오목교역,양천구,목1동,188859,447176,30,59,529924862,288766384,102219,233518004
목동신시가지,양천구,목1동,188989,447968,8,150,1618593898,703952467,388533,757152912
송정역,강서구,공항동,183179,451334,11,47,172417742,65410978,35221,81150933
발산역(마곡),강서구,가양1동,185482,451168,1,37,960380040,321640521,189262,484154323
화곡역,강서구,화곡1동,185754,449079,49,44,1155226035,611744690,271959,398690806
까치산역,강서구,화곡1동,186514,447863,65,46,401019806,214937836,75011,124827223
강서구청,강서구,화곡6동,186817,450350,61,45,395739682,153401125,97732,166008117
오류동역,구로구,오류1동,186274,443987,15,41,148613007,89146408,45672,59948407
